,Count,Word
345,1,watertown-cambridge greenway
346,1,bicycle lane
347,1,portland street
348,1,cardinal
349,1,medeiros st
350,1,counterflow
351,1,quincy
352,5,street
353,1,side
354,7,bike
355,1,bumper sticker
356,1,bike safety
357,1,door
358,1,bicycles sticker
359,3,car
360,1,handle
361,1,reminder
362,1,driver
363,3,cyclist
364,1,bicycle safety education
365,1,bike helmet
366,1,cambridge kid
367,1,helmet
368,1,renting
369,1,biking shelter
370,1,garage
371,2,bicycle parking
372,1,1050 mass ave
373,3,bike parking
374,1,main library
375,1,hubway
376,1,zipcar
377,1,zip van
378,1,payment
379,3,parking meter
380,1,mobile app payment
381,1,fire hydrant visibility
382,1,sennott park
383,1,parking lot
384,2,area 4
385,1,noiseles
386,1,gardner street
387,2,way
388,1,connection
389,1,walk
390,2,bu
391,1,intersection of mass ave
392,1,western
393,1,prospect/river
394,1,construction alert website
395,1,construction
396,1,pothole
397,1,street repair
398,1,speed bump
399,1,fund
400,1,fibre optic network
401,1,fio
402,1,school food
403,2,wi fi
404,6,wifi
405,1,income
406,3,housing
407,3,internet
408,1,all
409,1,wi-fi
410,2,charging station
411,1,solar charger
412,1,cell phone
413,4,jefferson park
414,1,lc
415,1,speaker
416,1,board
417,1,data projector
418,2,printer
419,1,copier
420,1,youth program
421,1,learning center
422,1,cambridge school volunteer
423,3,crl
424,1,cambridgeport youth center
425,1,community school registration system
426,1,computer programming course
427,1,middle school student
428,1,lunch line
429,1,literacy
430,2,app
431,1,crls freight farm
432,1,learning production center
433,1,elementary school
434,1,cp
435,1,mission
436,1,facelift
437,1,amigos public school
438,1,replacement chair
439,1,desk
440,1,table
441,2,student
442,1,cambridge elementary school
443,2,moore youth center
444,2,furniture
445,4,hoop
446,2,basketball court
447,1,cambridge public elementary school
448,1,haggerty
449,1,bicycle desk
450,1,middle school
451,1,site
452,1,upper school
453,1,staff room
454,1,center
455,1,moore youth
456,3,
457,1,cambridge youth programs shuttle
458,1,public school class
459,1,homelessness task force
460,1,public art wall
461,2,wall
462,3,art supply
463,1,public
464,1,swing
465,2,gore st.
466,2,stage
467,1,storage space
468,1,refugee
469,1,van
470,1,homelessnes
471,2,person
472,1,rainbow crosswalk
473,1,street cleaning parking reminder
474,1,rat problem
475,1,sculpture
476,1,gift of the wind
477,1,environmental quality monitoring station
478,1,cambridge plaza of star
479,1,baby box
480,1,supply
481,1,baby
482,1,resource
483,1,line
484,1,parking space
485,1,side street
486,1,traffic law
487,1,mas
488,4,north cambridge
489,1,human right
490,2,pedestrian crossing
491,2,columbium
492,1,announcement reboot
493,1,street cleaning
494,1,help
495,1,polouse
496,1,windsor street
497,1,lincoln
498,1,bike sign
499,1,someone
500,1,baseball backstop
501,1,ball
502,1,walkway
503,1,raspberry pi station
504,1,treehouse
505,1,minuteman
506,1,bike trail
507,1,alewife linear parkway
508,1,fresh pond bikeway
509,1,commemoration
510,1,bike fatality
511,1,bug spray
512,1,plaque
513,1,statue
514,1,sam langford
515,1,basketball hoop
516,1,dance studio
517,2,skate park
518,1,african-american trail
519,3,biking
520,1,opening
521,1,bike crosswalk
522,1,binney street
523,1,concord ave
524,1,traffic safety garden
525,1,tablet
526,1,community learning center
527,1,hampshire street improvement
528,1,crossing opportunity
529,1,wall art
530,1,alewife
531,1,perimeter
532,1,wheelchair curb cut
533,1,irving
534,1,beacon @ aaa
535,1,soup kitchen
536,1,water taste
537,1,snow melt system
538,1,traffic area
539,1,cooling station
540,1,signal head
541,1,safe
542,1,phone
543,1,cambridge care
544,1,public art
545,1,bus stop pole information
546,1,benefit
547,1,transit ridership
548,1,shepard st. bicycle boulevard
549,1,bike box
550,1,transition
551,1,prospect
552,1,speed table
553,1,entry
554,3,equipment
555,2,senior center
556,1,rat infestation
557,3,bike path
558,1,river street
559,1,service
560,1,asperger
561,1,hfa
562,2,adult
563,1,sharing
564,1,surplus restaurant food
565,1,stand desk
566,1,bicycle parking subsidy
567,1,business
568,2,bike rack
569,1,river street court
570,1,diaper gap
571,1,disposable diaper waste
572,1,outdoor fitnes
573,1,workout station
574,1,cambridge public makerspace
575,1,recycling center
576,1,kirkland street
577,1,fitness program
578,1,family
579,1,a second entrance set of covered bench
580,1,cycle track
581,1,parklet boulevard
582,1,brattle
583,1,tennis court
584,1,repair net
585,1,cambridge clean
586,1,speed limit sign
587,1,little free pantry initiative
588,1,community
589,1,incubator kitchen
590,1,phase
591,1,cambridge street composting
592,1,pedestrian visibility
593,1,bicycle sign
594,1,mural
595,1,russell field pool house
596,1,water park
597,1,volleyball court
598,1,stop light
599,1,building community
600,1,ice cream
601,1,amount
602,1,wifi hotspot
603,1,spray deck area
604,1,bucket
605,1,telescope equipment
606,1,material
607,1,literacy center
608,1,central square library
609,1,creation
610,1,new pilot curiculuum
611,1,links homelessness with poverty
612,1,bus display
613,1,event
614,1,child
615,1,marker
616,1,bridge
617,1,bike sidewalk
618,1,livability revamp
619,1,beech-elm
620,1,story
621,1,jerry's pond
622,1,bike washing station
623,2,east cambridge
624,1,main street
625,1,3rd street
626,1,danehy dog park
627,1,truck shower
628,1,area improvement
629,1,e-book
630,1,library lending
631,1,central
632,1,izzy
633,1,body camera
634,2,police officer
635,1,sidewalk bump
636,1,prescott st
637,2,direction
638,1,glenwood street
639,1,dog washing station
640,1,composting program
641,1,sparks st
642,1,bathing suit
643,1,vassar street
644,1,fort washington
645,1,putnam avenue
646,1,camera
647,1,tmp
648,1,amusement park
649,1,function hall
650,1,parking
651,2,resident
652,1,storm safety
653,1,ev
654,1,bus alert screen
655,1,clement g. morgan park
656,1,police man
657,1,brigade
658,1,supper
659,1,hampshire
660,2,webster
